scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,subst_name1,bus_id_1,matching1%,matching2%,Coordinate0,Endpoint,subst_name2,bus_id_2,Cordinate1,Distance,Voltage,s_nom.1,NOVA-Type,Comments,Coordinate1,,,
AMP-P21,29345,,33333,,AC,,,,,,,,,1,2027,40,,455.056555384354,,,,,,,,,BBPIG,6,Regelzonengrenze TTG/AMP,,,,66.67,,Merzen,Beuren,33333,8.86152579758899,47.8064353547178,455.0565554,380,,Errichtung einer Leitung: Neubau in neuer Trasse,,8.861525797588994 47.80643535471784,,
AMP-P41,29346,31621,33956,,AC,,,,,,,,,1,2024,40,,192.301618085176,,,,,,,,,BBPIG,15,Metternich,Umspannwerk Mitterteich,31621,48.48,75,12.230090323513434 49.938100002220494,Niederstedem,Station Niederstedem,33956,6.47506298271469,49.9226087849345,192.3016181,380,,Errichtung einer Lei- tung: Ersatzneubau,,6.475062982714686 49.92260878493446,,
AMP-P47,29347,30972,33804,,AC,,,,,,,,,1,2025,40,,22.0613988834601,,,,,,,,,BBPIG,19,Urberach ,Umspannwerk Urberach,30972,55.17,57.14,8.772275034667414 49.974574340406285,"Pfungstadt
",Umspannanlage Pfungstadt,33804,8.58859643159892,49.8156337215881,22.06139888,380,,"Errichtung einer Leitung: Neubau in neuer Trasse; Errichtung einer
Leitung: Ersatzneu- bau; Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",teiweise neubau,8.588596431598917 49.815633721588135,,
AMP-P47,29348,33804,34195,,AC,,,,,,,,,1,2025,40,,49.0643931609452,,,,,,,,,BBPIG,19,"Pfungstadt
",Umspannanlage Pfungstadt,33804,57.14,57.14,8.588596431598917 49.815633721588135,Weinheim,Umspannwerk Weinheim,34195,8.62696325212251,49.5436055820419,49.06439316,380,,"Errichtung einer Leitung: Neubau in neuer Trasse; Errichtung einer
Leitung: Ersatzneu- bau; Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",,8.626963252122508 49.543605582041856,,
AMP-P47a,29349,32082,31003,,AC,,,,,,,,,1,2024,40,,5.00089187232422,,,,,,,,,BBPIG,76,Punkt Kriftel,Umspannwerk Kriftel,32082,62.5,64.71,8.471763441204741 50.097320201311256,Punkt Marxheim,Umspannwerk Marxheim,31003,8.43517066491049,50.0590207030322,5.000891872,380,,Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,,8.435170664910492 50.05902070303217,
AMP-P47a,29350,34644,32902,,AC,,,,,,,,,1,2024,40,,480.175288235145,,,,,,,,,BBPIG,76,Punkt Hattersheim,Umspannwerk Hattersheim,34644,70,51.43,8.503833804793517 50.07400843258671, Farbwerke Höchst-Süd,Friedrichstadt,32902,9.10902141384337,54.3733685038646,480.1752882,380,,Leitungsneubau in bestehender 110kV-Trasse,,9.109021413843367 54.37336850386463,,
AMP-P52,29351,32925,31240,,AC,,,,,,,,,1,2024,40,,233.404683486951,,,,,,,,,BBPIG,24,Rommelsbach,Gummersbach,32925,72.73,66.67,7.556399353441878 51.01968501469646,Herbertingen,Umspannwerk Herbertingen,31240,9.42534407680648,48.0644397250324,233.4046835,380,,Errichtung einer Lei- tung: Ersatzneubau,,9.425344076806475 48.06443972503238,,
AMP-P52,29352,32174,35180,,AC,,,,,,,,,1,2024,40,,207.357324708679,,,,,,,,,BBPIG,25,Wullenstetten,110kV-Umspannwerk Achstetten,32174,39.02,91.67,9.877215004189015 48.26992468035188,Niederwangen,Niederlangen,35180,7.19456490471431,52.8698410647537,207.3573247,380,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Spannungsumstellung mit Stromkreisauflage,7.194564904714311 52.86984106475365,,
AMP-P154,29353,30906,30906,,AC,,,,,,,,,1,2023,40,,0,3,,,,,,,,,,Siegburg,Station Siegburg,30906,66.67,66.67,7.1924101684630415 50.798900164895514,Siegburg,Station Siegburg,30906,7.19241016846304,50.7989001648955,0,380,,Errichtung einer Leitung: Neubau in neuer Trasse,,7.1924101684630415 50.798900164895514,,
AMP-P310,29354,33900,32960,,AC,,,,,,,,,1,2025,40,,229.193637698436,,,,,,,,,,,Bürstadt,Station Bürstadt,33900,66.67,33.33,8.419373160819056 49.63371907511068,Kühmoos,Lastverteilung/Schaltanlage Kühmoos,32960,7.9580759143156,47.5954779452788,229.1936377,380,,Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,HTLS Umbeseilung, Spannungsumstellung ,7.958075914315599 47.59547794527875
