scn_name,Project,Project_id,Startpoint,bus_id_1,Point_1,Endpoint,bus_id_2,Point_2,Distance (km),Voltage,s_nom,cables,NOVA-Type,Distance
AMP-P47a,BBPIG,76,Punkt Hattersheim,34514.0,"7.815993836091335, 49.92211102584192", Farbwerke Höchst-Süd,,,,380.0,,,Leitungsneubau in bestehender 110kV-Trasse,
AMP-P52,BBPIG,24,Rommelsbach,31195.0,"6.702194950358541, 51.00886012106785",Herbertingen,31110.0,"6.65673525925894, 51.379523660262194",,380.0,,,Errichtung einer Lei- tung: Ersatzneubau,41.35931882457567
AMP-P52,BBPIG,25,Wullenstetten,31318.0,"11.6401668419024, 52.26899390911886",Niederwangen,31097.0,"6.6807962637334715, 51.646328801088394",,380.0,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,347.8150300247226
AMP-P154,,,Siegburg,30889.0,"9.984058791561045, 53.74147911149971",Siegburg,30889.0,"9.984058791561045, 53.74147911149971",,380.0,,3.0,Errichtung einer Leitung: Neubau in neuer Trasse,0.0
AMP-P310,,,Bürstadt,31186.0,"11.507780016006695, 48.76113865788101",Kühmoos,32960.0,"7.958075914315599, 47.59547794527875",,380.0,,,"Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",294.0467572152913
AMP-P310,,,Draxlanden,30895.0,"6.965538620656629, 51.0699302797616",Kühmoos,32960.0,"7.958075914315599, 47.59547794527875",,380.0,,3.0,"Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",393.0811437360765
AMP-P460,,,Büscherhof ,31146.0,"8.389618629206476, 49.982479345417744",Büscherhof ,31146.0,"8.389618629206476, 49.982479345417744",,380.0,,,"Änderung oder Erweiterung einer Leitung: Zu- oder
Umbeseilung",0.0
TTG-006,EnLAG,6,Wahle,30930.0,"13.5061273352059, 52.473825606560844",Mecklar,31126.0,"8.480095303151476, 50.59092047197062",,380.0,,6.0,Errichtung einer Leitung: Neubau in neuer Trasse,406.706731236141
TTG-007,EnLAG,5,Dörpen / West,33739.0,"7.256250263683292, 52.98145861782307",Niederrhein (Punkt Meppen),31097.0,"6.6807962637334715, 51.646328801088394",,380.0,2366.6MVA,6.0,Errichtung einer Leitung: Neubau in neuer Trasse,153.65875999220708
TTG-009,EnLAG,2,Ganderkesee,31011.0,"9.522576021806701, 52.36040907486085",St. Hülfe,30941.0,"7.123239074232188, 51.52561159658865",,380.0,2629.6MVA,6.0,Errichtung einer Leitung: Neubau in neuer Trasse,189.3258107615476
TTG-P21,,,Conneforde,31026.0,"8.052813201940419, 53.33191378148668",Garrel/ Ost,30998.0,"10.15820424005784, 53.555410330604104",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,142.08545014385174
TTG-P21,,,Garrel/ Ost,30998.0,"10.15820424005784, 53.555410330604104",Cappeln/West,31011.0,"9.522576021806701, 52.36040907486085",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,139.6766312491733
TTG-P21,,,Cappeln/West,31011.0,"9.522576021806701, 52.36040907486085",Regel- zonengrenze TTG/AMP,,,,380.0,,6.0,Errichtung einer Leitung: Neubau in neuer Trasse,
TTG-P24,BBP,7,Stade/West,31011.0,"9.522576021806701, 52.36040907486085",Dollern,31104.0,"6.683107022192082, 51.57564552523084",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,213.7728507591178
TTG-P24,BBP,7,Dollern,31104.0,"6.683107022192082, 51.57564552523084",Sottrum,31216.0,"6.872873666479574, 51.4457833803702",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,19.552879234313398
TTG-P24,BBP,7,Sottrum,31216.0,"6.872873666479574, 51.4457833803702",Mehringen (Grafschaft Hoya),,POINT (9.253243575298317 53.11482167195141),,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,
TTG-P24,BBP,7,Mehringen (Grafschaft Hoya),,,Landesbergen,31114.0,"8.563991876746766, 53.03191782682749",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,210.9251718728386
TTG-P25,BBP,8,Heide/West,31011.0,"9.522576021806701, 52.36040907486085",Husum/Nord,30865.0,"8.735135796743075, 50.159191553758134",,380.0,2629.6MVA,6.0,Errichtung einer Leitung: Neubau in neuer Trasse,250.9812948205069
TTG-P25,BBP,8,Husum/Nord,30865.0,"8.735135796743075, 50.159191553758134",Klixbüll/Süd,31369.0,"10.156282508555906, 54.27554827511158",,380.0,2366.6MVA,6.0,Errichtung einer Leitung: Neubau in neuer Trasse,468.1912902235101
TTG-P25,BBP,8,Klixbüll/Süd,31369.0,"10.156282508555906, 54.27554827511158",Bundesgrenze DK,31160.0,"10.16030331266777, 49.98915674945729",,380.0,2366.6MVA,6.0,Errichtung einer Leitung: Neubau in neuer Trasse,476.94575771875867
TTG-P33,BBP,10,Wahle,30930.0,"13.5061273352059, 52.473825606560844",Landesgrenze NI/ST (Mast 6),,POINT (10.365338662586142 52.28466156477866),,380.0,2629.6MVA,6.0,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,
TTG-P33,BBP,10,Hattorf ,31060.0,"10.761248371477675, 52.36745365064589",Helmstedt,31186.0,"11.507780016006695, 48.76113865788101",,380.0,2629.6MVA,6.0,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,404.6317419131302
TTG-P46,BBP,18,Redwitz,30966.0,"6.828052633409847, 51.16264600166581", Schwandorf (Ostbayernring),31511.0,"12.082254499689908, 49.29744774665628",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,428.3373738391066
TTG-P46,BBP,18,Mechlenreuth,31545.0,"9.746026530326525, 50.9174270688464",Etzenricht,31081.0,"6.906604094757413, 51.56523580346812",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,210.95942987559923
TTG-P46,BBP,18,Etzenricht,31081.0,"6.906604094757413, 51.56523580346812", Schwandorf (Ostbayernring),31511.0,"12.082254499689908, 49.29744774665628",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,445.78058101938547
TTG-P48,BBP,20,Grafenrheinfeld,31071.0,"6.167365723785745, 50.802064506580734",Punkt Rittershausen,31477.0,"7.2640789454432175, 51.57357484172735",,380.0,,3.0,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,115.08972935459076
TTG-P67,BBP,32,Simbach,30972.0,"8.772275034667414, 49.974574340406285",Matzenhof,30931.0,"13.524113150563279, 52.53579367759632",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,437.14836118898324
TTG-P67,BBP,32,Matzenhof,30931.0,"13.524113150563279, 52.53579367759632",Bundesgrenze AT,31160.0,"10.16030331266777, 49.98915674945729",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,367.8853406091485
TTG-P67,BBP,32,Altheim,30930.0,"13.5061273352059, 52.473825606560844",Adlkofen,31191.0,"6.329986504542498, 51.24293339894754",,380.0,2629.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,512.7688786349931
TTG-P69,BBP,34,Emden / Ost,31089.0,"7.44506934967185, 51.61850011435058",Conneforde,31026.0,"8.052813201940419, 53.33191378148668",,380.0,2366.6MVA,6.0,Errichtung einer Lei- tung: Ersatzneubau,195.08117633129632
TTG-P72,BBP,42,Kreis Segeberg,30906.0,"7.1924101684630415, 50.798900164895514",Lübeck / West,33618.0,"10.640952461335745, 53.919444277182414",,380.0,,6.0,Errichtung einer Lei- tung: Ersatzneubau,419.13706803385503
TTG-P118,BBP,43,Borken,30887.0,"6.85169033318656, 50.98414694486755",Mecklar,31126.0,"8.480095303151476, 50.59092047197062",,380.0,2629.6MVA,6.0,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,122.87803505760999
TTG-P151,BBP,45,Borken,30887.0,"6.85169033318656, 50.98414694486755",Twistetal,31274.0,"11.004916950000002, 50.50741499934261",,380.0,2629.6MVA,6.0,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,297.85336425875545
TTG-P185,BBP,46,Redwitz,30966.0,"6.828052633409847, 51.16264600166581",Landes- grenze BY / TH (Punkt Tschirn),,POINT (11.193698240199689 50.16222420264838),,380.0,2366.6MVA,6.0,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,
TNG-P47,BBP,19,Weinheim,30904.0,"6.972459875900362, 50.79563726078529",Daxlanden,30895.0,"6.965538620656629, 51.0699302797616",,,,,Errichtung einer Lei- tung: Ersatzneubau,30.518151346816776
TNG-P47,BBP,19,Weinheim,30904.0,"6.972459875900362, 50.79563726078529",Mannheim (G380),34210.0,"8.501808581399017, 49.44491154650559",,,,,Errichtung einer Lei- tung: Ersatzneubau,185.82868287691994
TNG-P47,BBP,19,Mannheim (G380),34210.0,"8.501808581399017, 49.44491154650559",Altlußheim,31466.0,"8.932880076577138, 52.19344813022315",,,,,Errichtung einer Lei- tung: Ersatzneubau,307.2640515107775
TNG-P47,BBP,19,Altlußheim,31466.0,"8.932880076577138, 52.19344813022315",Daxlanden,30895.0,"6.965538620656629, 51.0699302797616",,,,,Errichtung einer Lei- tung: Ersatzneubau,184.86975791015863
TNG-P48,BBP,20,Punkt Rittershausen,31477.0,"7.2640789454432175, 51.57357484172735",Kupferzell,31244.0,"9.775990807719905, 53.690669404243195",,380.0,,3.0,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,290.5230180224251
TNG-P48,BBP,20,Kupferzell,31244.0,"9.775990807719905, 53.690669404243195",Großgartach,30972.0,"8.772275034667414, 49.974574340406285",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,419.20524846460944
TNG-P49,BBP,21,Daxlanden,30895.0,"6.965538620656629, 51.0699302797616",Bühl/ Kuppenheim,31772.0,"8.248729079824315, 48.84631655943378",,380.0,,,Errichtung einer Lei- tung: Ersatzneubau,263.9019224765739
TNG-P49,BBP,21,Bühl/ Kuppenheim,31772.0,"8.248729079824315, 48.84631655943378",Weier,34098.0,"7.195979372179286, 51.411575331958",,380.0,,,Errichtung einer Lei- tung: Ersatzneubau,295.0912702976667
TNG-P49,BBP,21,Weier,34098.0,"7.195979372179286, 51.411575331958",Eichstetten,31286.0,"8.702218487068025, 51.736352600067896",,380.0,,,Errichtung einer Lei- tung: Ersatzneubau,110.49728301022103
TNG-P70,BBP,35,Birkenfeld,31244.0,"9.775990807719905, 53.690669404243195",Mast 115A,,POINT (8.641627910762603 48.89007089696151),,380.0,,,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer
Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",
DC1,BBP,1,Emden / Ost,31089.0,"7.44506934967185, 51.61850011435058",Osterath,30878.0,"11.37040879051204, 48.29148987363752",,,2GW,,Errichtung einer Leitung: Neubau in neuer Trasse,464.92767651930683
DC2,BBP,2,Osterath,30878.0,"11.37040879051204, 48.29148987363752",Philippsburg (Ultranet),,POINT (6.625829004351699 51.26061129731316),,380.0,2 GW,,"Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",
DC3,BBP,3,Brunsbüttel,31079.0,"10.50549919302552, 52.3018379192041",Großgartach (SuedLink),31261.0,"9.15157490076255, 49.14362211741481",,380.0,2 GW,,Errichtung einer Leitung: Neubau in neuer Trasse,364.08789839945536
DC4,BBP,4,Wilster / West,31011.0,"9.522576021806701, 52.36040907486085",Bergrheinfeld / West (SuedLink),31160.0,"10.16030331266777, 49.98915674945729",,380.0,2 GW,,Errichtung einer Leitung: Neubau in neuer Trasse,267.54589643307867
DC5,BBP,5,Wolmirstedt,31186.0,"11.507780016006695, 48.76113865788101",Isar,32780.0,"12.296883821275578, 48.60690994546696",,380.0,2 GW,,Errichtung einer Leitung: Neubau in neuer Trasse,60.58252701306513
DC1a,BBPIG,1,Emden / Ost,31089.0,"7.44506934967185, 51.61850011435058",Osterath,30878.0,"11.37040879051204, 48.29148987363752",,380.0,"2,4 GW",,Optimierung,464.92767651930683
DC20,BBPIG,5a,Klein Rogahn,31077.0,"10.235863189815383, 52.29345956917022",Landkreis Börde,31407.0,"9.125265746125436, 52.53826407418714",,380.0,2 GW,,Errichtung einer Leitung: Neubau einer Trasse,80.32392470150893
DC20,BBPIG,5a,Landkreis Börde,31407.0,"9.125265746125436, 52.53826407418714",Isar,32780.0,"12.296883821275578, 48.60690994546696",,380.0,2 GW,,Errichtung einer Leitung: Paral- lelneubau,491.5459219410462
DC21,BBPIG,49,Wilhelmshaven 2,33048.0,"8.020290393908658, 50.92361692922066",Region Hamm,34007.0,"8.547160873968359, 49.44053972977923",,380.0,2 GW,,Errichtung einer Leitung: Neubau in neuer Trasse,169.20296121493544
DC25,BBPIG,48,Heide / West,31011.0,"9.522576021806701, 52.36040907486085",Polsum,30934.0,"7.023309809364244, 51.625703743245474",,380.0,2 GW,,Errichtung einer Leitung: Neubau in neuer Trasse,190.12770686960215
DC31,,,Heide / West,31011.0,"9.522576021806701, 52.36040907486085",Klein Rogahn,31077.0,"10.235863189815383, 52.29345956917022",,380.0,2 GW,,Errichtung einer Leitung: Neubau in neuer Trasse,49.19658311200613
DC34,,,Suchraum Rastede,32958.0,"7.842901952780925, 47.58585151929896",Bürstadt,31186.0,"11.507780016006695, 48.76113865788101",,380.0,2 GW,,Errichtung einer Leitung: Neubau in neuer Trasse,302.23978358546776
P20,BBPIG,37,Emden / Ost,31089.0,"7.44506934967185, 51.61850011435058",Halbemond,30887.0,"6.85169033318656, 50.98414694486755",,380.0,2629.6MVA,6.0,Errichtung einer Leitung: Neubau in neuer Trasse,81.81210398532743
P22,BBPIG,55,Elsfleth / West,32620.0,"9.449636586504937, 53.96728651535278",Ganderkesee (über Niedervieland),31114.0,"8.563991876746766, 53.03191782682749",,380.0,2629.6MVA,6.0,Errichtung einer Leitung: Ersatz- neubau,119.54422636894058
P22,BBPIG,54,Conneforde,31026.0,"8.052813201940419, 53.33191378148668",Unterweser,30946.0,"6.804590290688168, 50.9662510998506",,380.0,2629.6MVA,,Änderung oder Erweiterung einer Leitung: Spannungs- umstellung,276.7353785751575
P23,BBPIG,38,Dollern,31104.0,"6.683107022192082, 51.57564552523084",Alfstedt,31186.0,"11.507780016006695, 48.76113865788101",,380.0,2629.6MVA,6.0,Errichtung einer Leitung: Ersatz- neubau,465.46516203299694
P23,BBPIG,38,Alfstedt,31186.0,"11.507780016006695, 48.76113865788101",Farge,30867.0,"11.639339068563299, 48.17869599545106",,380.0,2629.6MVA,6.0,Errichtung einer Leitung: Ersatz- neubau,65.49379322539407
P23,BBPIG,38,Farge,30867.0,"11.639339068563299, 48.17869599545106",Elsfleth / West,32620.0,"9.449636586504937, 53.96728651535278",,380.0,2629.6MVA,6.0,Errichtung einer Leitung: Ersatz- neubau,661.9262523740538
P26,BBPIG,50,Brunsbüttel,31079.0,"10.50549919302552, 52.3018379192041",Büttel,31643.0,"13.368653475247406, 52.503147509807846",,380.0,2629.6MVA,6.0,Errichtung einer Leitung: Ersatz- neubau,196.13739857873654
P26,BBPIG,50,Büttel,31643.0,"13.368653475247406, 52.503147509807846",Wilster/West,31011.0,"9.522576021806701, 52.36040907486085",,380.0,2629.6MVA,6.0,Errichtung einer Leitung: Ersatz- neubau,262.0426587627579
