Application;Plant;Landkreis Number;Annual Tonnes;Capacity or Production;Latitude;Longitude
Packing Paper and Board;Delkeskamp Verpackungswerke GmbH;3459;120000.00;Production;52.61724;7.859373
Technical/Special Paper and Board;Drewsen Spezialpapiere GmbH & Co. KG;3351;160000.00;Capacity;52.625479;10.246007
Packing Paper and Board;DS Smith Paper Deutschland GmbH Werk Aschaffenburg;9661;420000.00;Production;49.987393;9.157345
Packing Paper and Board;DS Smith Paper Deutschland GmbH Werk Witzenhausen ;6636;340000.00;Production;51.317694;9.848293
Hygiene Paper;Essity Operations Mainz-Kostheim GmbH Werk Mainz-Kostheim;6414;152000.00;Production;50.005801;8.317639
Hygiene Paper;Essity Operations Mannheim GmbH;8222;283000.00;Production;49.539583;8.458873
Hygiene Paper;Essity Operations Neuss GmbH;5162;112000.00;Production;51.209348;6.715167
Hygiene Paper;Essity Operations Witzenhausen GmbH;6636;32000.00;Production;51.322633;9.849088
Hygiene Paper;Fripa Papierfabrik Albert Friedrich KG  ;9676;47450.00;Capacity;49.707041;9.243243
Packing Paper and Board;FS Karton GmbH;5162;350000.00;Capacity;51.220207;6.697768
Technical/Special Paper and Board;Gebr. Gruenewald GmbH & Co. KG;5966;48000.00;Capacity;51.073057;8.069731
Graphic Paper;Gebr. Lang GmbH Papierfabrik UPM Ettringen;9778;300000.00;Capacity;48.111801;10.67172
Technical/Special Paper and Board;Glatfelter Dresden GmbH;14628;60000.00;Capacity;50.970913;13.879374
Technical/Special Paper and Board;Glatfelter Gernsbach GmbH Composite Fibers Business Unit;8216;42000.00;Production;48.771838;8.338466
Technical/Special Paper and Board;Glatfelter Ober-Schmitten GmbH;6440;12000.00;Production;50.445661;9.03575
Packing Paper and Board;Hamburger Rieger Gelsenkirchen GmbH & Co. KG;5513;245000.00;Production;51.539267;7.08303
Packing Paper and Board;Hamburger Rieger GmbH Papierfabrik Spremberg;12071;315000.00;Production;51.527691;14.358371
Packing Paper and Board;Hamburger Rieger GmbH Papierfabrik Trostberg;9189;167500.00;Production;48.025551;12.544057
Packing Paper and Board;Hans Kolb Papierfabrik GmbH & Co. KG;9762;60000.00;Production;47.994111;10.141653
Packing Paper and Board;Heinzel Paper Raubling Papier GmbH;9187;220000.00;Capacity;47.796101;12.118142
Technical/Special Paper and Board;Hollingsworth & Vose GmbH;6635;46000.00;Production;50.995889;8.533921
Packing Paper and Board;Julius Schulte Soehne GmbH & Co. KG;5111;100000.00;Capacity;51.204729;6.782039
Packing Paper and Board;Julius Schulte Trebsen GmbH & Co. KG;14729;240000.00;Capacity;51.27919;12.76748
Graphic Paper;Kabel Premium Pulp & Paper GmbH ;5914;485000.00;Production;51.406694;7.491126
Technical/Special Paper and Board;Kaemmerer Spezialpapiere GmbH;3404;140000.00;Capacity;52.294191;8.022945
Technical/Special Paper and Board;KANZAN Spezialpapiere GmbH;5358;60000.00;Production;50.791299;6.484982
Packing Paper and Board;Karl Kurz GmbH & Co. KG Tullau Pappen;8127;19000.00;Capacity;49.089756;9.736293
Packing Paper and Board;Kartonfabrik Buchmann GmbH;7337;275000.00;Production;49.2029289;7.936293
Technical/Special Paper and Board;Katz GmbH & Co. KG ;8216;25000.00;Production;48.72389;8.355906
Hygiene Paper;Kimberly-Clark GmbH Werk Koblenz;7111;65000.00;Production;50.391848;7.585209
Packing Paper and Board;Klingele Papierwerke GmbH & Co. KG Papierfabrik Weener;3457;270000.00;Capacity;53.16456;7.365058
Technical/Special Paper and Board;Koehler Greiz GmbH & Co. KG;16076;37500.00;Production;50.638712;12.208929
Technical/Special Paper and Board;Koehler Kehl GmbH;8317;100000.00;Capacity;48.584517;7.819786
Technical/Special Paper and Board;Kuebler & Niethammer Papierfabrik Kriebstein AG;14522;100000.00;Capacity;51.051245;13.016569
Packing Paper and Board;LEIPA Georg Leinfelder GmbH;9185;146000.00;Capacity;53.08758;14.31137
Packing Paper and Board;LEIPA Georg Leinfelder GmbH;12073;450000.00;Capacity;53.07818;14.31336
Graphic Paper;LEIPA Georg Leinfelder GmbH;12073;780000.00;Capacity;48.55691;11.26348
Technical/Special Paper and Board;Lydall Performance Materials Altenkirchen GmbH;7132;15000.00;Production;50.677118;7.631006
Packing Paper and Board;Mayr-Melnhof Gernsbach GmbH;8216;275000.00;Capacity;48.743977;8.346557
Technical/Special Paper and Board;Metsae Tissue GmbH Werk Dueren;5358;36000.00;Capacity;50.815947;6.468794
Hygiene Paper;Metsae Tissue GmbH Werk Kreuzau;5358;150000.00;Capacity;50.726397;6.470003
Hygiene Paper;Metsae Tissue GmbH Werk Raubach;7138;108000.00;Capacity;50.584734;7.624486
Hygiene Paper;Metsae Tissue GmbH Werk Stotzheim ;5366;100000.00;Capacity;50.634138;6.815186
Technical/Special Paper and Board;Mitsubishi HiTec Paper Europe GmbH;5711;150000.00;Capacity;54.778738;9.431862
Technical/Special Paper and Board;Mitsubishi HiTec Paper Europe GmbH;1001;35000.00;Capacity;52.000534;8.61393
Packing Paper and Board;Moritz J. Weig GmbH & Co. KG ;7137;630000.00;Capacity;51.489164;10.782681
Technical/Special Paper and Board;Neu Kaliss Spezialpapier GmbH;13076;15000.00;Production;53.182116;11.276274
Packing Paper and Board;Niederauer Muehle GmbH;5358;300000.00;Production;50.755233;6.487114
Packing Paper and Board;PAKA Glashuetter Pappen- und Kartonagenfabrik GmbH;14628;30000.00;Production;50.846759;13.773626
Technical/Special Paper and Board;Pall Filtersystems GmbH;7133;40250.00;Capacity;49.849723;7.875071
Packing Paper and Board;Papier- und Kartonfabrik Varel GmbH & Co. KG;3455;850000.00;Capacity;53.403061;8.130667
Packing Paper and Board;Papierfabrik Adolf Jass GmbH & Co. KG;6631;520000.00;Capacity;50.568171;9.681778
Packing Paper and Board;Papierfabrik Adolf Jass Schwarza GmbH;16073;480000.00;Capacity;50.681683;11.332329
Technical/Special Paper and Board;Papierfabrik August Koehler SE;8317;337500.00;Production;48.52726;8.087277
Graphic Paper;Papierfabrik Hainsberg GmbH ;14628;40000.00;Production;50.987243;13.638896
Technical/Special Paper and Board;Papierfabrik Louisenthal GmbH;9182;10000.00;Capacity;47.757335;11.74435
Technical/Special Paper and Board;Papierfabrik Louisenthal GmbH Werk Koenigstein;14628;10000.00;Capacity;50.910634;14.052735
Packing Paper and Board;Papierfabrik Meldorf GmbH & Co. KG;1056;90000.00;Capacity;53.694458;9.715562
Packing Paper and Board;Papierfabrik Palm GmbH & Co. KG ;8136;350000.00;Production;48.824195;10.117974
Graphic Paper;Papierfabrik Palm GmbH & Co. KG Werk Eltmann ;9674;540000.00;Production;49.984528;10.652055
Packing Paper and Board;Papierfabrik Palm GmbH & Co. KG Werk Woerth;7334;650000.00;Production;49.067762;8.302033
